FileName, Size,DateModified
         ca_subCA_das_2019032421.nc,31.29 Mbytes,2019-03-25T02:45:51Z
         ca_subCA_das_2019032415.nc,31.29 Mbytes,2019-03-24T23:52:41Z
         ca_subCA_das_2019032409.nc,31.29 Mbytes,2019-03-24T20:55:57Z
         ca_subCA_das_2019032403.nc,31.29 Mbytes,2019-03-24T09:46:25Z
         ca_subCA_das_2019032321.nc,31.29 Mbytes,2019-03-24T02:45:48Z
         ca_subCA_das_2019032315.nc,31.29 Mbytes,2019-03-23T23:52:46Z
         ca_subCA_das_2019032309.nc,31.29 Mbytes,2019-03-23T20:55:31Z
         ca_subCA_das_2019032303.nc,31.29 Mbytes,2019-03-23T09:46:33Z
         ca_subCA_das_2019032221.nc,31.29 Mbytes,2019-03-23T02:45:45Z
         ca_subCA_das_2019032215.nc,31.29 Mbytes,2019-03-22T23:52:16Z
         ca_subCA_das_2019032209.nc,31.29 Mbytes,2019-03-22T20:55:49Z
         ca_subCA_das_2019032203.nc,31.29 Mbytes,2019-03-22T09:46:59Z
         ca_subCA_das_2019032121.nc,31.29 Mbytes,2019-03-22T02:46:05Z
         ca_subCA_das_2019032115.nc,31.29 Mbytes,2019-03-21T23:53:43Z
         ca_subCA_das_2019032109.nc,31.29 Mbytes,2019-03-21T20:58:16Z
         ca_subCA_das_2019032103.nc,31.29 Mbytes,2019-03-21T09:47:03Z
         ca_subCA_das_2019032021.nc,31.29 Mbytes,2019-03-21T02:46:04Z
         ca_subCA_das_2019032015.nc,31.29 Mbytes,2019-03-20T23:52:13Z
         ca_subCA_das_2019032009.nc,31.29 Mbytes,2019-03-20T20:55:49Z
         ca_subCA_das_2019032003.nc,31.29 Mbytes,2019-03-20T09:46:45Z
         ca_subCA_das_2019031921.nc,31.29 Mbytes,2019-03-20T02:45:42Z
         ca_subCA_das_2019031915.nc,31.29 Mbytes,2019-03-19T23:52:28Z
         ca_subCA_das_2019031909.nc,31.29 Mbytes,2019-03-19T20:55:49Z
         ca_subCA_das_2019031903.nc,31.29 Mbytes,2019-03-19T09:46:32Z
         ca_subCA_das_2019031821.nc,31.29 Mbytes,2019-03-19T02:45:44Z
         ca_subCA_das_2019031815.nc,31.29 Mbytes,2019-03-18T23:52:27Z
         ca_subCA_das_2019031809.nc,31.29 Mbytes,2019-03-18T20:55:42Z
         ca_subCA_das_2019031803.nc,31.29 Mbytes,2019-03-18T09:46:35Z
         ca_subCA_das_2019031721.nc,31.29 Mbytes,2019-03-18T02:45:56Z
         ca_subCA_das_2019031715.nc,31.29 Mbytes,2019-03-17T23:52:48Z
         ca_subCA_das_2019031709.nc,31.29 Mbytes,2019-03-17T20:55:58Z
         ca_subCA_das_2019031703.nc,31.29 Mbytes,2019-03-17T09:46:25Z
         ca_subCA_das_2019031621.nc,31.29 Mbytes,2019-03-17T02:45:51Z
         ca_subCA_das_2019031615.nc,31.29 Mbytes,2019-03-16T23:55:41Z
         ca_subCA_das_2019031609.nc,31.29 Mbytes,2019-03-16T20:55:39Z
         ca_subCA_das_2019031603.nc,31.29 Mbytes,2019-03-16T09:46:24Z
         ca_subCA_das_2019031521.nc,31.29 Mbytes,2019-03-16T02:45:39Z
         ca_subCA_das_2019031515.nc,31.29 Mbytes,2019-03-15T23:52:29Z
         ca_subCA_das_2019031509.nc,31.29 Mbytes,2019-03-15T20:55:47Z
         ca_subCA_das_2019031503.nc,31.29 Mbytes,2019-03-15T09:46:24Z
         ca_subCA_das_2019031421.nc,31.29 Mbytes,2019-03-15T02:51:03Z
         ca_subCA_das_2019031415.nc,31.29 Mbytes,2019-03-15T02:23:29Z
         ca_subCA_das_2019031409.nc,31.29 Mbytes,2019-03-14T20:49:33Z
         ca_subCA_das_2019031403.nc,31.29 Mbytes,2019-03-14T09:46:29Z
         ca_subCA_das_2019031321.nc,31.29 Mbytes,2019-03-14T02:42:45Z
         ca_subCA_das_2019031315.nc,31.29 Mbytes,2019-03-13T23:55:33Z
         ca_subCA_das_2019031309.nc,31.29 Mbytes,2019-03-13T20:56:15Z
         ca_subCA_das_2019031303.nc,31.29 Mbytes,2019-03-13T09:47:06Z
         ca_subCA_das_2019031221.nc,31.29 Mbytes,2019-03-13T02:45:41Z
         ca_subCA_das_2019031215.nc,31.29 Mbytes,2019-03-12T23:52:15Z
         ca_subCA_das_2019031209.nc,31.29 Mbytes,2019-03-12T20:55:49Z
         ca_subCA_das_2019031203.nc,31.29 Mbytes,2019-03-12T09:46:44Z
         ca_subCA_das_2019031121.nc,31.29 Mbytes,2019-03-12T02:45:57Z
         ca_subCA_das_2019031115.nc,31.29 Mbytes,2019-03-11T23:52:28Z
         ca_subCA_das_2019031109.nc,31.29 Mbytes,2019-03-11T20:55:46Z
         ca_subCA_das_2019031103.nc,31.29 Mbytes,2019-03-11T09:46:34Z
         ca_subCA_das_2019031021.nc,31.29 Mbytes,2019-03-11T02:46:02Z
         ca_subCA_das_2019031015.nc,31.29 Mbytes,2019-03-10T23:52:23Z
         ca_subCA_das_2019031009.nc,31.29 Mbytes,2019-03-10T20:52:36Z
         ca_subCA_das_2019031003.nc,31.29 Mbytes,2019-03-10T10:33:48Z
         ca_subCA_das_2019030921.nc,31.29 Mbytes,2019-03-10T03:45:56Z
         ca_subCA_das_2019030915.nc,31.29 Mbytes,2019-03-10T00:52:29Z
         ca_subCA_das_2019030909.nc,31.29 Mbytes,2019-03-09T21:55:44Z
         ca_subCA_das_2019030903.nc,31.29 Mbytes,2019-03-09T10:46:38Z
         ca_subCA_das_2019030821.nc,31.29 Mbytes,2019-03-09T03:45:39Z
         ca_subCA_das_2019030815.nc,31.29 Mbytes,2019-03-09T00:55:24Z
         ca_subCA_das_2019030809.nc,31.29 Mbytes,2019-03-08T21:55:57Z
         ca_subCA_das_2019030803.nc,31.29 Mbytes,2019-03-08T10:46:24Z
         ca_subCA_das_2019030721.nc,31.29 Mbytes,2019-03-08T03:45:46Z
         ca_subCA_das_2019030715.nc,31.29 Mbytes,2019-03-08T00:52:40Z
         ca_subCA_das_2019030709.nc,31.29 Mbytes,2019-03-07T21:55:32Z
         ca_subCA_das_2019030703.nc,31.29 Mbytes,2019-03-07T10:46:29Z
         ca_subCA_das_2019030621.nc,31.29 Mbytes,2019-03-07T03:45:35Z
         ca_subCA_das_2019030615.nc,31.29 Mbytes,2019-03-07T00:55:20Z
         ca_subCA_das_2019030609.nc,31.29 Mbytes,2019-03-06T21:55:42Z
         ca_subCA_das_2019030603.nc,31.29 Mbytes,2019-03-06T10:46:25Z
         ca_subCA_das_2019030521.nc,31.29 Mbytes,2019-03-06T03:45:55Z
         ca_subCA_das_2019030515.nc,31.29 Mbytes,2019-03-06T00:52:19Z
         ca_subCA_das_2019030509.nc,31.29 Mbytes,2019-03-05T21:52:15Z
         ca_subCA_das_2019030503.nc,31.29 Mbytes,2019-03-05T10:46:32Z
         ca_subCA_das_2019030421.nc,31.29 Mbytes,2019-03-05T03:45:42Z
         ca_subCA_das_2019030415.nc,31.29 Mbytes,2019-03-05T00:55:26Z
         ca_subCA_das_2019030409.nc,31.29 Mbytes,2019-03-04T21:55:49Z
         ca_subCA_das_2019030403.nc,31.29 Mbytes,2019-03-04T10:46:16Z
         ca_subCA_das_2019030321.nc,31.29 Mbytes,2019-03-04T03:45:37Z
         ca_subCA_das_2019030315.nc,31.29 Mbytes,2019-03-04T00:52:17Z
         ca_subCA_das_2019030309.nc,31.29 Mbytes,2019-03-03T21:55:26Z
         ca_subCA_das_2019030303.nc,31.29 Mbytes,2019-03-03T10:46:19Z
         ca_subCA_das_2019030221.nc,31.29 Mbytes,2019-03-03T03:45:33Z
         ca_subCA_das_2019030215.nc,31.29 Mbytes,2019-03-03T00:55:34Z
         ca_subCA_das_2019030209.nc,31.29 Mbytes,2019-03-02T21:55:39Z
         ca_subCA_das_2019030203.nc,31.29 Mbytes,2019-03-02T10:46:39Z
         ca_subCA_das_2019030121.nc,31.29 Mbytes,2019-03-02T03:45:37Z
         ca_subCA_das_2019030115.nc,31.29 Mbytes,2019-03-02T00:55:33Z
         ca_subCA_das_2019030109.nc,31.29 Mbytes,2019-03-01T21:55:38Z
         ca_subCA_das_2019030103.nc,31.29 Mbytes,2019-03-01T10:46:23Z
         ca_subCA_das_2019022821.nc,31.29 Mbytes,2019-03-01T03:45:51Z
         ca_subCA_das_2019022815.nc,31.29 Mbytes,2019-03-01T00:52:23Z
         ca_subCA_das_2019022809.nc,31.29 Mbytes,2019-02-28T21:55:21Z
         ca_subCA_das_2019022803.nc,31.29 Mbytes,2019-02-28T10:46:09Z
         ca_subCA_das_2019022721.nc,31.29 Mbytes,2019-02-28T03:45:24Z
         ca_subCA_das_2019022715.nc,31.29 Mbytes,2019-02-28T00:55:24Z
         ca_subCA_das_2019022709.nc,31.29 Mbytes,2019-02-27T21:55:27Z
         ca_subCA_das_2019022703.nc,31.29 Mbytes,2019-02-27T10:46:15Z
         ca_subCA_das_2019022621.nc,31.29 Mbytes,2019-02-27T03:45:50Z
         ca_subCA_das_2019022615.nc,31.29 Mbytes,2019-02-27T00:55:34Z
         ca_subCA_das_2019022609.nc,31.29 Mbytes,2019-02-26T21:55:36Z
         ca_subCA_das_2019022603.nc,31.29 Mbytes,2019-02-26T10:46:19Z
         ca_subCA_das_2019022521.nc,31.29 Mbytes,2019-02-26T03:45:20Z
         ca_subCA_das_2019022515.nc,31.29 Mbytes,2019-02-26T00:55:28Z
         ca_subCA_das_2019022509.nc,31.29 Mbytes,2019-02-25T21:55:31Z
         ca_subCA_das_2019022503.nc,31.29 Mbytes,2019-02-25T10:45:50Z
         ca_subCA_das_2019022421.nc,31.29 Mbytes,2019-02-25T03:45:43Z
         ca_subCA_das_2019022415.nc,31.29 Mbytes,2019-02-25T00:55:25Z
         ca_subCA_das_2019022409.nc,31.29 Mbytes,2019-02-24T21:55:47Z
         ca_subCA_das_2019022403.nc,31.29 Mbytes,2019-02-24T10:46:00Z
         ca_subCA_das_2019022321.nc,31.29 Mbytes,2019-02-24T03:45:41Z
         ca_subCA_das_2019022315.nc,31.29 Mbytes,2019-02-24T00:55:21Z
         ca_subCA_das_2019022309.nc,31.29 Mbytes,2019-02-23T21:55:41Z
         ca_subCA_das_2019022303.nc,31.29 Mbytes,2019-02-23T10:45:54Z
         ca_subCA_das_2019022221.nc,31.29 Mbytes,2019-02-23T03:45:42Z
         ca_subCA_das_2019022215.nc,31.29 Mbytes,2019-02-23T00:52:25Z
         ca_subCA_das_2019022209.nc,31.29 Mbytes,2019-02-22T21:55:19Z
         ca_subCA_das_2019022203.nc,31.29 Mbytes,2019-02-22T10:45:44Z
         ca_subCA_das_2019022121.nc,31.29 Mbytes,2019-02-22T03:45:43Z
         ca_subCA_das_2019022115.nc,31.29 Mbytes,2019-02-22T00:55:38Z
         ca_subCA_das_2019022109.nc,31.29 Mbytes,2019-02-21T21:55:33Z
         ca_subCA_das_2019022103.nc,31.29 Mbytes,2019-02-21T10:45:38Z
         ca_subCA_das_2019022021.nc,31.29 Mbytes,2019-02-21T03:45:24Z
         ca_subCA_das_2019022015.nc,31.29 Mbytes,2019-02-21T00:52:06Z
         ca_subCA_das_2019022009.nc,31.29 Mbytes,2019-02-20T21:55:35Z
         ca_subCA_das_2019022003.nc,31.29 Mbytes,2019-02-20T10:45:29Z
         ca_subCA_das_2019021921.nc,31.29 Mbytes,2019-02-20T03:45:32Z
         ca_subCA_das_2019021915.nc,31.29 Mbytes,2019-02-20T00:55:12Z
         ca_subCA_das_2019021909.nc,31.29 Mbytes,2019-02-19T21:55:33Z
         ca_subCA_das_2019021903.nc,31.29 Mbytes,2019-02-19T10:45:18Z
         ca_subCA_das_2019021821.nc,31.29 Mbytes,2019-02-19T03:52:17Z
         ca_subCA_das_2019021815.nc,31.29 Mbytes,2019-02-19T00:59:41Z
         ca_subCA_das_2019021809.nc,31.29 Mbytes,2019-02-18T22:28:04Z
         ca_subCA_das_2019021803.nc,31.29 Mbytes,2019-02-18T21:52:49Z
         ca_subCA_das_2019021721.nc,31.29 Mbytes,2019-02-18T15:28:41Z
         ca_subCA_das_2019021715.nc,31.29 Mbytes,2019-02-18T15:27:47Z
         ca_subCA_das_2019021709.nc,31.29 Mbytes,2019-02-18T15:26:56Z
         ca_subCA_das_2019021703.nc,31.29 Mbytes,2019-02-17T10:46:39Z
         ca_subCA_das_2019021621.nc,31.29 Mbytes,2019-02-17T03:45:42Z
         ca_subCA_das_2019021615.nc,31.29 Mbytes,2019-02-17T00:55:28Z
         ca_subCA_das_2019021609.nc,31.29 Mbytes,2019-02-16T21:55:50Z
         ca_subCA_das_2019021603.nc,31.29 Mbytes,2019-02-16T10:46:43Z
         ca_subCA_das_2019021521.nc,31.29 Mbytes,2019-02-16T03:45:39Z
         ca_subCA_das_2019021515.nc,31.29 Mbytes,2019-02-16T00:55:53Z
         ca_subCA_das_2019021509.nc,31.29 Mbytes,2019-02-15T21:55:43Z
         ca_subCA_das_2019021503.nc,31.29 Mbytes,2019-02-15T10:46:15Z
         ca_subCA_das_2019021421.nc,31.29 Mbytes,2019-02-15T03:46:00Z
         ca_subCA_das_2019021415.nc,31.29 Mbytes,2019-02-15T00:55:34Z
         ca_subCA_das_2019021409.nc,31.29 Mbytes,2019-02-14T21:55:40Z
         ca_subCA_das_2019021403.nc,31.29 Mbytes,2019-02-14T10:46:29Z
         ca_subCA_das_2019021321.nc,31.29 Mbytes,2019-02-14T03:45:37Z
         ca_subCA_das_2019021315.nc,31.29 Mbytes,2019-02-14T00:52:27Z
